               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.053836,            0.053988,           0.0022264,             0.47147,             0.41719,             0.37184,             0.13618,            0.059952,            0.043674,            0.004062,            0.006535,            0.006535,            0.006535
                  37,            0.053444,            0.053565,           0.0022168,             0.47033,             0.41765,             0.37102,             0.13607,            0.060011,            0.043724,           0.0040787,            0.006436,            0.006436,            0.006436
                  38,            0.053394,            0.053416,           0.0022677,             0.46892,             0.42021,             0.37102,             0.13612,            0.060043,            0.043769,           0.0040836,            0.006337,            0.006337,            0.006337
                  39,             0.05278,            0.052885,           0.0020386,             0.46735,             0.41958,             0.37059,             0.13618,            0.060075,            0.043811,           0.0040734,            0.006238,            0.006238,            0.006238
                  40,            0.052611,            0.052542,           0.0020652,             0.46669,             0.41887,             0.37027,             0.13617,            0.060116,            0.043849,           0.0040669,            0.006139,            0.006139,            0.006139
                  41,            0.052462,            0.052457,           0.0020735,             0.46478,             0.41979,             0.36985,             0.13586,            0.060161,            0.043889,           0.0040717,             0.00604,             0.00604,             0.00604
                  42,            0.051905,            0.052335,           0.0019508,             0.46736,             0.41745,             0.36889,             0.13548,            0.060205,            0.043936,           0.0040723,            0.005941,            0.005941,            0.005941
                  43,            0.051841,            0.052145,           0.0019791,             0.46902,             0.41591,             0.36898,             0.13575,            0.060229,            0.043977,           0.0040711,            0.005842,            0.005842,            0.005842
                  44,            0.051388,            0.052119,           0.0018385,             0.47044,             0.41408,             0.36794,             0.13539,            0.060264,            0.044017,           0.0040792,            0.005743,            0.005743,            0.005743
                  45,            0.051224,            0.051743,           0.0018809,             0.47281,             0.41271,             0.36777,             0.13531,            0.060293,             0.04406,           0.0040868,            0.005644,            0.005644,            0.005644
                  46,            0.051126,            0.051542,           0.0018489,              0.4767,             0.41015,             0.36723,             0.13508,            0.060327,              0.0441,           0.0040946,            0.005545,            0.005545,            0.005545
                  47,            0.050707,            0.051759,           0.0018492,             0.47647,             0.41086,             0.36768,              0.1354,            0.060366,            0.044144,           0.0041016,            0.005446,            0.005446,            0.005446
                  48,            0.050425,            0.050894,            0.001875,             0.47521,             0.41138,             0.36755,             0.13531,            0.060399,            0.044184,           0.0040987,            0.005347,            0.005347,            0.005347
                  49,            0.050066,            0.051202,           0.0016375,             0.47688,             0.40976,             0.36731,             0.13519,            0.060436,            0.044229,           0.0040996,            0.005248,            0.005248,            0.005248
